"salhora","trabaja","genero","edad","buscat","tiene_hijos","nac","parado","RGIrecep","sitlab","prov"
0,0,"Hombre",62,0,1,"espanola",0,0,"inactivo","Araba"
2.840909,1,"Mujer",61,0,1,"espanola",0,0,"autonomo","Araba"
8.522727,1,"Hombre",32,0,0,"espanola",0,0,"temporal","Araba"
0,0,"Mujer",59,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",50,1,0,"espanola",1,0,"inactivo","Araba"
0,0,"Hombre",44,0,0,"espanola",0,0,"inactivo","Araba"
6.25,1,"Hombre",41,0,0,"espanola",0,0,"temporal","Araba"
8.333333,1,"Hombre",58,0,1,"espanola",0,0,"indefinido","Araba"
7.386364,1,"Mujer",56,0,1,"espanola",0,0,"indefinido","Araba"
9.280303,1,"Hombre",27,0,0,"espanola",0,0,"temporal","Araba"
0,0,"Mujer",22,1,0,"espanola",1,0,"inactivo","Araba"
15.435606,1,"Hombre",56,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",52,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",22,0,0,"espanola",0,0,"inactivo","Araba"
9.848485,1,"Hombre",43,0,0,"espanola",0,0,"indefinido","Araba"
13.257576,1,"Hombre",32,0,0,"espanola",0,0,"temporal","Araba"
7.9545455,1,"Mujer",28,0,0,"espanola",0,0,"indefinido","Araba"
5.681818,1,"Mujer",45,0,1,"espanola",0,0,"temporal","Araba"
13.257576,1,"Hombre",38,0,1,"espanola",0,0,"indefinido","Araba"
5.1136365,1,"Hombre",43,0,1,"extranjero",0,0,"autonomo","Araba"
9.943182,1,"Mujer",33,0,1,"espanola",0,0,"obra","Araba"
9.943182,1,"Mujer",50,0,0,"espanola",0,0,"indefinido","Araba"
8.484849,1,"Hombre",48,0,0,"espanola",0,0,"indefinido","Araba"
7.9545455,1,"Hombre",39,0,0,"espanola",0,0,"indefinido","Araba"
7.8598485,1,"Hombre",36,0,0,"extranjero",0,0,"indefinido","Araba"
9.232954,1,"Hombre",52,0,1,"espanola",0,0,"indefinido","Araba"
9.090909,1,"Mujer",50,0,1,"espanola",0,0,"indefinido","Araba"
13.257576,1,"Mujer",38,0,1,"espanola",0,0,"indefinido","Araba"
13.257576,1,"Hombre",37,0,1,"espanola",0,0,"indefinido","Araba"
15.246212,1,"Hombre",36,0,0,"espanola",0,0,"indefinido","Araba"
